id,company,x,y
366,Take-Two Interactive,447.009,310.678
367,Take-Two Interactive,455.283,363.622
368,Take-Two Interactive,461.661,316.837
369,Take-Two Interactive,429.044,360.112
370,Take-Two Interactive,441.234,342.252
371,Take-Two Interactive,468.732,306.885
372,Take-Two Interactive,461.191,352.150
373,Take-Two Interactive,458.742,357.026
374,Take-Two Interactive,468.924,323.355
375,Take-Two Interactive,446.287,333.420
376,Take-Two Interactive,442.556,319.863
377,Take-Two Interactive,464.062,348.369
378,Take-Two Interactive,432.583,362.621
379,Take-Two Interactive,446.469,300.569
380,Take-Two Interactive,441.765,297.475
381,Take-Two Interactive,456.190,377.737
382,Take-Two Interactive,453.158,349.628
383,Take-Two Interactive,460.441,320.643
384,Take-Two Interactive,406.914,345.284
385,Take-Two Interactive,447.515,313.274
386,Take-Two Interactive,475.184,344.569
387,Take-Two Interactive,464.108,372.508
388,Take-Two Interactive,463.587,353.007
389,Take-Two Interactive,455.633,303.827
390,Take-Two Interactive,435.336,324.104
391,Take-Two Interactive,406.452,335.384
392,Take-Two Interactive,479.801,356.939
393,Take-Two Interactive,452.322,368.740
394,Take-Two Interactive,464.955,362.819
395,Take-Two Interactive,473.317,368.819
396,Take-Two Interactive,465.046,331.132
397,Take-Two Interactive,455.566,330.553
398,Take-Two Interactive,478.600,333.848
399,Take-Two Interactive,472.404,345.964
400,Take-Two Interactive,447.866,305.477
401,Take-Two Interactive,444.703,369.284
402,Take-Two Interactive,434.437,304.846
403,Take-Two Interactive,477.226,324.581
404,Take-Two Interactive,439.771,311.896
405,Take-Two Interactive,438.553,369.008
406,Take-Two Interactive,440.951,373.305
407,Take-Two Interactive,472.216,362.252
408,Take-Two Interactive,416.950,332.266
409,Take-Two Interactive,404.349,337.796
410,Take-Two Interactive,436.975,349.221
411,Take-Two Interactive,470.328,359.701
412,Take-Two Interactive,453.149,361.074
413,Take-Two Interactive,421.316,326.872
414,Take-Two Interactive,460.258,373.486
415,Take-Two Interactive,402.264,350.986
416,Take-Two Interactive,417.949,334.910
417,Take-Two Interactive,464.215,342.897
418,Take-Two Interactive,471.760,357.024
419,Take-Two Interactive,443.976,337.249
420,Take-Two Interactive,453.913,323.236
421,Take-Two Interactive,420.283,363.811
422,Take-Two Interactive,404.336,347.839
423,Take-Two Interactive,454.326,319.781
424,Take-Two Interactive,443.358,365.703
425,Take-Two Interactive,459.066,354.012
426,Take-Two Interactive,431.909,340.522
427,Take-Two Interactive,407.878,342.729
428,Take-Two Interactive,470.436,370.730
429,Take-Two Interactive,435.288,307.535
430,Take-Two Interactive,447.308,343.368
431,Take-Two Interactive,406.963,315.813
432,Take-Two Interactive,452.794,326.764
433,Take-Two Interactive,419.339,351.215
434,Take-Two Interactive,436.968,310.566
435,Take-Two Interactive,419.152,304.992
436,Take-Two Interactive,434.428,328.251
437,Take-Two Interactive,409.883,355.700
438,Take-Two Interactive,406.042,318.464
439,Take-Two Interactive,432.486,298.581
440,Take-Two Interactive,446.455,372.009
441,Take-Two Interactive,450.314,343.165
442,Take-Two Interactive,427.480,362.693
443,Take-Two Interactive,435.035,339.624
444,Take-Two Interactive,415.517,373.109
445,Take-Two Interactive,411.409,366.133
446,Take-Two Interactive,411.511,310.469
447,Take-Two Interactive,449.234,332.448
448,Take-Two Interactive,460.567,346.543
449,Take-Two Interactive,411.082,342.858
